T,rec_id,converged,num_converged,num_incomplete,num_not_converged,num_hit_maxiter,num_diverged,num_crashed,num_error_should_be_converged,num_no_data,best_N,best_m,best_iter,min_N_converged,min_m_converged,median_iter,converged_T
T10,70,yes,49,0,0,0,0,0,0,0,5,160,92.0,5,5,1122.0,
T10,71,yes,49,0,0,0,0,0,0,0,5,320,117.0,5,5,1427.0,
T10,72,yes,49,0,0,0,0,0,0,0,5,320,107.0,5,5,1501.0,
T10,73,yes,49,0,0,0,0,0,0,0,5,320,70.0,5,5,864.0,
T10,74,yes,49,0,0,0,0,0,0,0,5,320,104.0,5,5,1386.0,
T10,75,yes,49,0,0,0,0,0,0,0,5,80,71.0,5,5,1012.0,
T10,76,yes,49,0,0,0,0,0,0,0,40,320,211.0,5,5,2079.0,
T10,77,yes,49,0,0,0,0,0,0,0,5,160,165.0,5,5,1443.0,
T10,78,yes,46,0,0,0,0,1,0,2,40,320,203.0,5,5,2327.0,
T10,79,yes,49,0,0,0,0,0,0,0,5,160,159.0,5,5,1791.0,
T10,80,yes,49,0,0,0,0,0,0,0,5,320,110.0,5,5,1200.0,
T10,81,yes,48,0,0,0,0,1,0,0,40,320,178.0,5,5,1777.5,
T10,82,yes,49,0,0,0,0,0,0,0,40,320,162.0,5,5,1383.0,
T10,83,yes,49,0,0,0,0,0,0,0,5,160,98.0,5,5,1617.0,
T10,84,yes,49,0,0,0,0,0,0,0,5,160,126.0,5,5,1169.0,
T10,85,yes,49,0,0,0,0,0,0,0,10,160,158.0,5,5,1286.0,
T10,86,yes,48,0,0,0,0,1,0,0,40,320,191.0,5,5,1997.0,
T10,87,yes,46,0,0,0,0,0,0,3,40,320,173.0,5,5,2183.0,
T10,88,yes,49,0,0,0,0,0,0,0,5,160,85.0,5,5,989.0,
T10,89,yes,49,0,0,0,0,0,0,0,5,160,99.0,5,5,1711.0,
T10,90,yes,49,0,0,0,0,0,0,0,5,160,96.0,5,5,1472.0,
T10,91,yes,49,0,0,0,0,0,0,0,5,160,100.0,5,5,1538.0,
T10,92,yes,49,0,0,0,0,0,0,0,5,160,206.0,5,5,1806.0,
T10,93,yes,49,0,0,0,0,0,0,0,5,80,186.0,5,5,2123.0,
T10,94,yes,49,0,0,0,0,0,0,0,5,320,92.0,5,5,1088.0,
T10,95,yes,49,0,0,0,0,0,0,0,5,160,106.0,5,5,1421.0,
T10,96,yes,48,0,0,0,0,0,0,1,40,320,265.0,5,5,3142.5,
T10,97,yes,49,0,0,0,0,0,0,0,5,160,126.0,5,5,1489.0,
T10,98,yes,49,0,0,0,0,0,0,0,5,80,71.0,5,5,1006.0,
T10,99,yes,49,0,0,0,0,0,0,0,40,320,185.0,5,5,1528.0,
T20,1,yes,49,0,0,0,0,0,0,0,5,160,68.0,5,5,1274.0,
T20,2,yes,49,0,0,0,0,0,0,0,5,160,158.0,5,5,2552.0,
T20,3,yes,49,0,0,0,0,0,0,0,5,160,92.0,5,5,1487.0,
T20,4,yes,49,0,0,0,0,0,0,0,5,160,139.0,5,5,2430.0,
T20,5,yes,49,0,0,0,0,0,0,0,5,320,100.0,5,5,2232.0,
T20,6,yes,49,0,0,0,0,0,0,0,5,320,100.0,5,5,2146.0,
T20,7,yes,49,0,0,0,0,0,0,0,5,160,94.0,5,5,2117.0,
T20,8,yes,49,0,0,0,0,0,0,0,5,80,85.0,5,5,1573.0,
T20,9,yes,49,0,0,0,0,0,0,0,5,160,114.0,5,5,2370.0,
T20,10,yes,49,0,0,0,0,0,0,0,5,320,131.0,5,5,2324.0,
T20,11,yes,49,0,0,0,0,0,0,0,5,160,129.0,5,5,2928.0,
T20,12,yes,49,0,0,0,0,0,0,0,5,320,136.0,5,5,2680.0,
T20,13,yes,49,0,0,0,0,0,0,0,5,160,103.0,5,5,1728.0,
T20,14,yes,49,0,0,0,0,0,0,0,5,320,108.0,5,5,1656.0,
T20,15,yes,49,0,0,0,0,0,0,0,10,160,137.0,5,5,2917.0,
T20,16,yes,49,0,0,0,0,0,0,0,5,320,51.0,5,5,1759.0,
T20,17,yes,49,0,0,0,0,0,0,0,10,320,126.0,5,5,1957.0,
T20,18,yes,49,0,0,0,0,0,0,0,5,320,110.0,5,5,1513.0,
T20,19,yes,49,0,0,0,0,0,0,0,5,320,63.0,5,5,1328.0,
T20,20,yes,46,0,0,0,0,0,0,3,5,320,161.0,5,5,5607.5,
T20,21,yes,49,0,0,0,0,0,0,0,5,320,97.0,5,5,2061.0,
T20,22,yes,49,0,0,0,0,0,0,0,5,320,98.0,5,5,1639.0,
T20,23,yes,49,0,0,0,0,0,0,0,5,320,91.0,5,5,1613.0,
T20,24,yes,49,0,0,0,0,0,0,0,5,320,127.0,5,5,2202.0,
T20,25,yes,49,0,0,0,0,0,0,0,5,80,79.0,5,5,1129.0,
T20,26,yes,49,0,0,0,0,0,0,0,5,320,181.0,5,5,4698.0,
T20,27,yes,49,0,0,0,0,0,0,0,5,40,145.0,5,5,2399.0,
T20,28,yes,49,0,0,0,0,0,0,0,5,320,113.0,5,5,2306.0,
T20,29,yes,49,0,0,0,0,0,0,0,5,320,100.0,5,5,2074.0,
T20,30,yes,49,0,0,0,0,0,0,0,10,160,142.0,5,5,2707.0,
T20,31,yes,49,0,0,0,0,0,0,0,5,320,170.0,5,5,3269.0,
T20,32,yes,49,0,0,0,0,0,0,0,5,320,123.0,5,5,1935.0,
T20,33,yes,49,0,0,0,0,0,0,0,5,160,127.0,5,5,1853.0,
T20,34,yes,49,0,0,0,0,0,0,0,5,160,94.0,5,5,2680.0,
